"Education","Marital_Status","Income","Recency","wines","fruits","meat","fish","sweet","gold","dealpurchase","webpurchase","catalog","Store","webvisit","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Response","Age","Total_spent","Total_num","Kids"
"graduate","Taken",26304,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,53,16,4,1
"graduate","Taken",23559,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,49,79,9,1
"graduate","Taken",38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,59,318,11,0
"graduate","Single",81361,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,35,778,27,0
"graduate","Taken",29440,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,62,56,7,2
"graduate","Taken",36138,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,52,151,13,2
"graduate","Single",50388,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,65,372,17,1
"graduate","Taken",79593,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,49,1366,19,0
"graduate","Taken",54178,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,55,194,10,1
"graduate","Single",42394,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,50,32,5,1
"graduate","Taken",23626,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,52,43,10,1
"graduate","Taken",30096,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,39,45,6,1
"graduate","Single",47916,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,62,606,22,1
"graduate","Single",51813,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,50,63,7,2
"graduate","Taken",78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,71,978,25,0
"graduate","Taken",50150,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,39,410,16,0
"graduate","Single",47823,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,62,72,7,1
"graduate","Single",34554,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,63,55,7,1
"graduate","Taken",85693,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,43,1169,27,1
"graduate","Taken",65846,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,77,1120,16,0
"graduate","Taken",87195,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,63,1097,20,0
"non-graduate","Taken",24594,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,43,29,5,1
"graduate","Taken",49096,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,58,187,13,2
"graduate","Taken",52413,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,53,910,26,2
"graduate","Single",38557,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,44,145,9,1
"graduate","Taken",89058,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,62,850,14,0
"graduate","Taken",77298,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,43,969,24,1
"graduate","Single",68126,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,31,1820,17,0
"graduate","Taken",57288,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,59,608,20,1
"graduate","Single",86037,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,31,730,25,0
"graduate","Taken",43974,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,42,551,21,1
"graduate","Single",50785,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,60,114,8,2
"graduate","Taken",90765,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,52,1724,15,0
"graduate","Taken",36550,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,44,577,20,1
"graduate","Taken",30753,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,55,81,7,2
"graduate","Taken",21918,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,53,33,7,1
"graduate","Taken",56129,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,69,660,22,1
"graduate","Single",32557,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,55,80,9,1
"graduate","Taken",19510,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,37,30,6,2
"graduate","Single",30992,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,46,43,5,1
"graduate","Single",101970,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,39,1135,27,0
"graduate","Taken",71488,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,57,559,16,0
"graduate","Single",79607,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,38,1923,16,0
"graduate","Taken",54348,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,69,90,8,2
"graduate","Taken",77376,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,66,661,23,2
"graduate","Taken",62998,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,70,463,19,1
"graduate","Single",61331,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,64,632,23,2
"graduate","Taken",73448,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,53,725,19,0
"graduate","Taken",41551,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,58,279,16,2
"graduate","Taken",62981,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,55,1482,23,0
"non-graduate","Single",9548,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,46,29,6,1
"graduate","Taken",33762,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,63,106,9,3
"graduate","Single",35860,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,49,49,6,2
"graduate","Single",36921,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,57,38,7,2
"graduate","Single",92859,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,30,2077,22,0
"graduate","Taken",65104,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,46,1053,17,1
"graduate","Taken",86111,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,60,1385,23,0
"graduate","Single",68352,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,48,871,25,1
"graduate","Taken",41883,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,34,312,12,1
"graduate","Taken",59809,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,46,877,15,2
"graduate","Taken",23957,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,47,68,6,1
"graduate","Taken",38547,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,41,22,4,1
"graduate","Taken",35688,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,49,211,16,3
"graduate","Taken",49605,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,56,127,8,0
"graduate","Taken",59354,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,69,459,16,2
"graduate","Taken",65747,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,53,460,19,1
"graduate","Taken",46344,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,50,429,17,1
"graduate","Single",34176,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,34,89,11,1
"graduate","Taken",61010,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,70,1021,26,1
"graduate","Taken",69372,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,73,1381,21,0
"graduate","Single",49967,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,64,306,15,1
"graduate","Single",60199,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,44,18,4,3
"graduate","Taken",55375,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,45,162,9,1
"graduate","Single",80317,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,67,1231,18,0
"graduate","Single",30523,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,64,13,4,3
"graduate","Taken",70356,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,77,1706,27,0
"graduate","Taken",23228,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,38,121,11,1
"graduate","Single",74165,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,47,1293,20,0
"graduate","Taken",157243,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,49,1608,37,1
"graduate","Taken",43482,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,56,88,9,3
"graduate","Single",62551,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,69,421,18,0
"graduate","Single",52332,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,63,259,12,0
"graduate","Single",66951,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,34,1117,15,0
"graduate","Taken",26091,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,65,89,9,2
"graduate","Taken",33456,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,57,36,6,2
"graduate","Taken",28718,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,40,57,7,1
"graduate","Taken",50447,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,52,148,8,2
"graduate","Taken",53537,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,63,93,8,2
"graduate","Single",52074,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,55,119,7,1
"graduate","Taken",80427,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,47,1835,28,1
"graduate","Taken",83837,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,74,1318,25,0
"graduate","Taken",38853,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,52,45,7,2
"graduate","Taken",38285,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,63,10,4,3
"graduate","Taken",78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,71,978,25,0
"graduate","Taken",51650,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,46,191,10,1
"graduate","Taken",16248,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,34,57,9,1
"graduate","Taken",66835,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,76,1033,24,0
"graduate","Taken",30477,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,38,66,6,1
"non-graduate","Taken",28249,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,61,43,6,0
"graduate","Taken",25271,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,39,50,5,1
"graduate","Single",32303,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,52,39,7,1
"graduate","Taken",61286,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,56,608,18,1
"graduate","Taken",74068,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,46,1581,24,0
"graduate","Taken",45759,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,58,68,7,2
"non-graduate","Taken",24882,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,44,80,5,1
"graduate","Taken",66973,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,33,1282,28,0
"graduate","Taken",38872,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,34,91,8,1
"graduate","Taken",51148,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,49,315,16,2
"graduate","Taken",31353,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,45,31,6,2
"graduate","Taken",69661,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,42,834,23,0
"graduate","Taken",80067,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,68,1600,17,0
"graduate","Taken",86718,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,68,1270,17,0
"graduate","Single",46854,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,49,263,15,2
"graduate","Single",69142,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,70,535,19,1
"graduate","Single",75922,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,54,1295,18,0
"graduate","Single",63693,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,44,1150,29,1
"graduate","Taken",102160,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,45,1240,26,0
"graduate","Single",40637,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,57,38,6,2
"graduate","Single",18890,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,38,35,4,0
"graduate","Taken",29604,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,34,53,5,1
"graduate","Single",48721,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,59,293,17,2
"graduate","Taken",44794,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,56,65,6,1
"graduate","Single",64497,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,68,1804,29,1
"graduate","Taken",46097,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,66,241,15,1
"graduate","Taken",77972,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,68,1101,20,0
"graduate","Taken",44377,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,54,264,19,2
"graduate","Taken",46014,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,48,541,26,2
"graduate","Taken",70951,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,37,1198,17,0
"graduate","Taken",41443,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,45,482,20,1
"graduate","Single",52195,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,44,17,4,3
"graduate","Taken",83790,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,74,1615,25,0
"graduate","Single",44551,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,68,285,12,1
"graduate","Taken",69508,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,42,1135,28,1
"graduate","Taken",45204,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,34,114,7,1
"graduate","Taken",72460,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,53,1047,16,0
"graduate","Taken",77622,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,52,714,22,2
"graduate","Taken",30732,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0,42,185,13,1
"graduate","Single",63887,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0,60,1245,32,1
"graduate","Taken",42011,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0,44,189,12,1
"graduate","Taken",51369,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,46,576,16,1
"graduate","Single",51537,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,70,1103,18,1
"graduate","Taken",79930,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,50,1753,17,0
"graduate","Taken",34320,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,36,17,4,1
"graduate","Single",37070,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,1,56,433,23,2
"graduate","Single",81975,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,60,1588,14,1
"graduate","Taken",38590,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,51,22,4,1
"graduate","Single",15033,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0,71,19,5,0
"graduate","Taken",62745,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0,57,1117,29,1
"graduate","Taken",22212,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,47,69,8,1
"graduate","Taken",23661,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,40,23,5,1
"graduate","Single",79761,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,64,605,19,1
"graduate","Single",7500,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0,49,57,11,1
"graduate","Single",73455,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0,54,2088,22,0
"graduate","Taken",64961,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0,64,1009,16,1
"graduate","Single",22804,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,51,26,5,1
"graduate","Taken",73687,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,1,32,1627,22,0
"graduate","Taken",61074,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0,64,1102,31,1
"graduate","Taken",31686,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,58,17,6,2
"graduate","Taken",80134,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1,50,1690,16,1
"graduate","Taken",75027,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0,69,1390,21,1
"graduate","Taken",67546,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,34,2126,20,0
